cancion,artista,disco
,,
1. Disparo al Corazón,Ricky Martin,A quien quiera escuchar
,,
,,
2. Uptown Funk!,Mark Ronson ft. Bruno Mars,Uptown Special
,,
,,
3.  Cavernícolas,Ricardo Arjona,Viaje
,,
,,
4. Sugar,Maroon 5,V
,,
,,
5. Ella Es Mi Fiesta,Carlos Vives,Más Corazón Profundo
,,
,,
6. Thinking Out Loud,Ed Sheeran,X 
,,
,,
7. Shake It Off,Taylor Swift,1989
,,
,,
8. Blank Spaces,Taylor Swift,1989
,,
,,
9.  Juntos (Together),Juanes,Juntos - Single
,,
,,
10. Love Me Harder,Ariana Grande,My Everything
,,
,,
11. Wasted,Tiësto ft. Matthew Koma,Wasted - Single
,,
,,
12. Mi Verdad,Maná  ft. Shakira,Cama Incendiada
,,
,,
13. Lovers On The Sun,David Guetta Feat Sam Martin,Singles 
,,
,,
14. Amore mio,Thalía,Amore Mío
,,
,,
15. Night Changes,One Direction,Four
,,
,,
16. Si No Te Quisiera,Juan Magan,The King Is Back Vol. 1
,,
,,
17. Time Of Our Lives,Pitbull Feat Ne-Yo, Globalization
,,
,,
18. Love Me Like You Do,Ellie Goulding, Love Me Like You Do - Single
,,
,,
19. Prayer in C,Lilly Wood & The Prick and Robin Schulz,Singles 
,,
,,
20. La Rosa,Jorge Villamizar,La Rosa
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
