cancion,artista,disco
Rise,Francis Dávila ft. Estefani Brolo,
Get Low,Dillon Francis & DJ Snake,
GDFR,Flo-Rida ft Sage The Gemini,
Cheerleader,Omi,
King,Years Years,
See You Again,Wiz Khalifa ft Charlie Puth,
I Really Like You,Carly Rae Jepsen,
Want To Want Me,Jason Derulo,
Bills,Lunchmoney Lewis,
Young Again,Hardwell ft. Chris Jones,
Lay Me Down,Sam Smith ft John Legend,
Can't Stop Dancing,Becky G.,
Chains,Nick Jonas,
Miracles,Coldplay,
Sugar,Maroon5,
Somebody,Natalie La Rose ft Jeremih,
Bloodstream,Ed Sheeran & Rudimental,
I Want You To Know,Zedd ft. Selena Gómez,
Don't Look Down,Martin Garrix Ft Usher,
Trouble,Iggy Azalea ft. Jennifer Hudson,
