cancion,artista,disco
I'm an Albatraoz,AronChupa,I'm an Albatraoz
Ghost,Ella Henderson,Chapter One
Sugar,Maroon 5,V
Bet My Life,Imagine Dragons,Smoke + Mirrors
Style,Taylor Swift,1989
Girls in Luv ,DJane HouseKat feat. Rameez,Singles 
Thinking Out Loud,Ed Sheeran,X
Sun Goes Down,Robin Schulz feat Jasmine,Prayer
Time Of Our Lives,Pitbull Feat Ne-Yo ,Globalization
One Last Time,Ariana Grande,My Everything
Heartbeat Song,Kelly Clarkson,Heartbeat Song - Single
Pray To God ,Calvin Harris ft. Haim,Motion
Living For Love, Madonna,Rebel Heart
Uptown Funk! ,Mark Ronson ft. Bruno Mars,Uptown Special
Love Me Like You Do,Ellie Goulding,Love Me Like You Do - Single
The Nights,Aviicii,The Days
Rise,Francis Davila Ft. Estefani Brolo,Singles 
Shut Up and Dance,Walk the Moon,Talking Is Hard
What I Did For Love,David Guetta ft. Emeli Sandé,Listen
Something New,Axwell & Ingrosso,Singles 
