cancion,artista,disco
Cavernícolas,Ricardo Arjona,Viaje
Juntos (Together),Juanes,Juntos - Single
Sugar,Maroon 5,V
Mi Verdad,Maná  ft. Shakira,Cama Incendiada
Disparo al Corazón,Ricky Martin,A quien quiera escuchar
Thinking Out Loud,Ed Sheeran,X 
Love Me Like You Do,Ellie Goulding, Love Me Like You Do - Single
Amore mio,Thalía,Amore Mío
Un Zombie a la Intemperie,Alejandro Sanz,Singles 
Uptown Funk!,Mark Ronson ft. Bruno Mars,Uptown Special
Ella Es Mi Fiesta,Carlos Vives,Más Corazón Profundo
Time Of Our Lives,Pitbull Feat Ne-Yo, Globalization
Shake It Off,Taylor Swift,1989
Una Cita,Alkilados,Singles 
One Last Time,Ariana Grande,My Everything
Let Me Be Your Lover,Enrique Iglesias ft. Pitbull,Sex and Love
Mi Nuevo Vicio,Paulina Rubio ,Singles 
Blank Spaces,Taylor Swift,1989
Living For Love,Madonna,Rebel Heart
Love Me Harder,Ariana Grande,My Everything
