cancion,artista,disco
,,
1. Sugar,Maroon 5,V
,,
,,
2. Time Of Our Lives,Pitbull Feat Ne-Yo ,Globalization
,,
,,
3. Girls in Luv ,DJane HouseKat feat. Rameez,Singles 
,,
,,
4. Love Me Like You Do,Ellie Goulding,Love Me Like You Do - Single
,,
,,
5. Ghost,Ella Henderson,Chapter One
,,
,,
6. Uptown Funk! ,Mark Ronson ft. Bruno Mars,Uptown Special
,,
,,
7. I'm an Albatraoz,AronChupa,I'm an Albatraoz
,,
,,
8. Elastic Heart,Sia,Elastic Heart - Single
,,
,,
9. Lips Are Moving,Meghan Trainor,Title
,,
,,
10. Bet My Life,Imagine Dragons,Smoke + Mirrors
,,
,,
11. Wrapped Up,Olly Murs feat Travie McCoy ,Never Been Better
,,
,,
12. Beg For It,Iggy Azalea ft. MØ,The New Classic: Reclassified
,,
,,
13. Thinking Out Loud,Ed Sheeran,X
,,
,,
14. Heartbeat Song,Kelly Clarkson,Heartbeat Song - Single
,,
,,
15. Sun Goes Down,Robin Schulz feat Jasmine,Prayer
,,
,,
16. Style,Taylor Swift,1989
,,
,,
17. Pray To God ,Calvin Harris ft. Haim,Motion
,,
,,
18. Four Five Seconds,"Rihanna, Kanye West And Paul McCartney",Four Five Seconds - Single
,,
,,
19. Blank Spaces,Taylor Swift,1989
,,
,,
20. One Last Time,Ariana Grande,My Everything
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
